Designator,Comment,Footprint,Quantity,LCSC

"Z1, Z2, Z3, Z4, Z5, Z6, Z7, Z8, Z9, Z10, Z11","CM1293A-04SO","SOT457_N","11","C393377"
"POWER_BTN, S1, S2, S3, S4, S5, S6, S7, S8, S_CEW, S_CNW, S_PEW, S_PNS","SMD-SW-4_5.1x5.1x2.0_M","SMD-SW-4_5.1x5.1x2.0_M","13","C318888"
"S_FREQ_DOWN, S_FREQ_UP","SMD-SW-4_5.1x5.1x3.5_M","SMD-SW-4_5.1x5.1x3.5_M","2","C318886"
"U4","PCA9535PW,118","TSSOP24_N","1","C255606"
"U2","PCA9555PW,118","TSSOP24_N","1","C128392"
"D_GEW, D_GNS, D_Pass, D_PEW, D_PNS","LED Green","LED1608-0603-GREEN","5","C72043"
"D_AEW, D_ANS","LED Yellow","LED1608-0603-Yellow","2","C72038"
"F1","SMD0805-050","SMD0805-050","1","C66452"
"C12","10nF","CCNP1608-0603","1","C57112"
"RN3, RN4, RN7, RN13, RN16, RN17","10K","CR1206-0603_X4_N","6","C29718"
"R33, R34, R35, R37, R38","10K","CR1608-0603","5","C25804"
"RN1, RN2, RN5, RN6, RN9, RN11, RN12, RN14, RN15","470R","CR1206-0603_X4_N","9","C25510"
"C8","2.2uF","CCNP1608-0603","1","C23630"
"R21, R25","560R","CR1608-0603","2","C23204"
"R29, R30","5.1K","CR1608-0603","2","C23186"
"R40","470R","CR1608-0603","1","C23179"
"R1, R2","4.7K","CR1608-0603","2","C23162"
"R28, R31","33R","CR1608-0603","2","C23140"
"R36, R42, R43, R44, R45","100R","CR1608-0603","5","C22775"
"R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R22, R23, R24, R26, R27, R32, R39, R41","1K","CR1608-0603","26","C21190"
"RN8, RN10, RN19","1K","CR1206-0603_X4_N","3","C20197"
"C10, C11","10uF","CCNP2012-0805","2","C15850"
"C9","1uF","CCNP1608-0603","1","C15849"
"C1, C2, C3, C4, C5, C6, C7, C13, C14","100nF","CCNP1608-0603","9","C14663"
"Y1","16 MHz","Crystal_SMD_3.2x2.5","1","C13738"
"U6","SPX3819M5-L-3-3/TR","SOT-23-5_L","1","C9055"
"U3, U5","74HC541PW,118","TSSOP20_N","2","C5657"
"D1, D2, D3, D4, D5, D6, D7, D8, D17, D_CLOCK, D_Fail, D_REW, D_RNS, DIE_LED_A, DIE_LED_B1, DIE_LED_B2, DIE_LED_C1, DIE_LED_C2, DIE_LED_D1, DIE_LED_D2, LED_0, LED_1, LED_2, LED_3, LED_4, LED_5, LED_6, LED_7, Step_LED1, Step_LED2, Step_LED3, Step_LED4, Step_LED5, Step_LED6, Step_LED7, Step_LED8, Step_LED9, Step_LED10, Step_LED11, Step_LED12","LED Red","LED1608-0603-RED","40","C2286"
"B1","Breadboard - 300 Hole","Breadboard - 300 holes","1",""
"M1, M2, M3, M4, M5, M6, M7","Plastic Bumper","Bumper_RBS-2","7",""
"OLED","OLED_Display","OLED_Display_128x32","1",""
"P1, P2, P3, P4","Header 2x8","HDR2X8S","4",""
"P5, P6","Header 2x4","HDR2X4S","2",""
"P7","Header 2x3","HDR2X3S","1",""
"P9","Header, 6-Pin","HDR1X6S","1",""
"P10, P11","Header 2x2","HDR2X2S","2",""
"U1","MK20DX128VLF5","TSQFP50P900X900-48M","1",""
"USB1","USB4085-GF-A","USB4085-GF-A","1",""
"M8","OLED_Surround","OLED_Surround","1",""
